scenario,delta_on,turn,phi,cv,is_drifting,S_fro_norm,step,gamma
STABLE,True,0,0.865687,0.0,0,0.1,1,0.822643
STABLE,True,1,0.92795,0.0,0,0.139857,2,0.822643
STABLE,True,2,0.887669,0.027631,0,0.154152,3,0.750814
STABLE,True,3,0.855978,0.03069,0,0.149303,4,0.744139
STABLE,True,4,0.872861,0.025506,0,0.173536,5,0.812956
STABLE,True,5,0.798198,0.047771,0,0.185224,6,0.801947
STABLE,True,6,0.816934,0.04677,0,0.204613,7,0.802501
STABLE,True,7,0.833568,0.041552,0,0.212732,8,0.805294
STABLE,True,8,0.83666,0.036879,0,0.218816,9,0.807665
STABLE,True,9,0.82113,0.034558,0,0.225012,10,0.808799
STABLE,True,10,0.886484,0.038319,0,0.231652,11,0.806947
STABLE,True,11,0.915639,0.046174,0,0.230435,12,0.802828
STABLE,True,12,0.830183,0.044172,0,0.2397,13,0.803911
STABLE,True,13,0.891769,0.042517,0,0.214864,14,0.804789
STABLE,True,14,0.84669,0.038879,0,0.219834,15,0.806665
STABLE,True,15,0.813711,0.041316,0,0.227894,16,0.805416
STABLE,True,16,0.783401,0.049363,0,0.22308,17,0.801054
STABLE,True,17,0.850516,0.044455,0,0.215618,18,0.803759
STABLE,True,18,0.882944,0.044356,0,0.225684,19,0.803812
STABLE,True,19,0.874436,0.04131,0,0.236898,20,0.80542
STABLE,True,20,0.917184,0.046845,0,0.236416,21,0.802459
STABLE,True,21,0.874317,0.041896,0,0.232297,22,0.795757
STABLE,True,22,0.827029,0.042223,0,0.232734,23,0.795254
STABLE,True,23,0.841019,0.038833,0,0.242333,24,0.800394
STABLE,True,24,0.792711,0.046418,0,0.255498,25,0.788715
STABLE,True,25,0.832383,0.041548,0,0.269874,26,0.796289
STABLE,True,26,0.840157,0.037243,0,0.261218,27,0.80276
STABLE,True,27,0.856022,0.034263,0,0.262919,28,0.807118
STABLE,True,28,0.873401,0.033671,0,0.270889,29,0.807973
STABLE,True,29,0.95,0.054315,0,0.263753,30,0.775867
STABLE,True,30,0.852365,0.049847,0,0.262081,31,0.783223
STABLE,True,31,0.822687,0.049494,0,0.262353,32,0.783794
STABLE,True,32,0.804285,0.051501,0,0.280079,33,0.780526
STABLE,True,33,0.808344,0.04956,0,0.283724,34,0.783687
STABLE,True,34,0.812972,0.045879,0,0.259817,35,0.789568
STABLE,True,35,0.817422,0.041827,0,0.272684,36,0.795862
STABLE,True,36,0.858658,0.039765,0,0.271423,37,0.798994
STABLE,True,37,0.923558,0.054004,0,0.29568,38,0.776387
STABLE,True,38,0.895022,0.051221,0,0.282199,39,0.780986
STABLE,True,39,0.921251,0.052305,0,0.306769,40,0.779204
STABLE,True,40,0.891966,0.046474,0,0.296875,41,0.788626
STABLE,True,41,0.830387,0.048121,0,0.308093,42,0.786004
STABLE,True,42,0.802422,0.053774,0,0.286971,43,0.776771
STABLE,True,43,0.770378,0.064058,0,0.28492,44,0.759056
STABLE,True,44,0.870867,0.058549,0,0.250652,45,0.768691
STABLE,True,45,0.870721,0.052792,0,0.262911,46,0.7784
